F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
-1.23,3.539,-9.3,1790.68,-5.6516,3501.98,2.9934,-0.5706,0,-1814.35,11766.54,0,160.8874,6.4308,-44596.83,-8.4228,-129.147,2947.14,12.105,-2.4736,,FALSE
-1.23,3.6255,-8.515,2078.58,-12.128,2880.88,5.34,-1.1787,1,-3528.65,13535.4,0,162.0042,8.996,-44648.43,-9.1352,942.75,1812.46,9.7653,-1.88392,-13.05,FALSE
-4.23,3.7488,-5.183,1661.386,-6.6568,3224.18,3.186,-4.164,0,-2019.95,12403.2,0,161.6324,6.256,-44388.54,-10.676,-445.77,1568.94,9.6048,-3.5706,,FALSE
-4.23,4.577,-13.5076,1721,-6.165,3818.78,4.3329,-6.318,1,-2637.55,10395.9,0,167.078,6.4616,-44291.7,-9.0568,707.55,2693.14,11.6637,-2.44,,TRUE
-1.23,3.6344,-9.212,1807.38,-6.0992,2797.64,2.6697,-1.2141,0,-1953.15,12150.3,0,167.552,13.94,-44189.862,-8.0792,-1712.85,2056.94,10.4574,-2.4234,-14.82,FALSE
-4.23,3.8067,-19.65,1653.26,-5.6518,2591.08,2.3637,-6.138,0,-2319.75,10933.2,0,174.796,7.7048,-44652.03,-9.2528,-84.99,1812.42,12.924,-1.754638,,TRUE
-4.23,3.7986,-14.5125,2133.68,-7.29,3075.48,2.7351,-0.8073,0,-2879.65,11965.2,0,213.26,7.4444,-44154.561,-14.954,100.41,2159.54,13.554,-2.2158,-12.65,FALSE
-4.23,5.056,-19.568,1737.67,-6.8428,2714.566,8.925,-1.6095,1,-2575.59,9963.9,1,194.42,9.87,-44501.43,-8.4796,1467.75,2104.34,10.6782,-5.092,-16,TRUE
-1.23,3.48808,-9.825,1669.155,-5.43752,2724.366,5.331,-9.471,1,-2328.15,11658.675,0,184.52,8.188,-44110.2,-10.376,261.75,5131.54,13.272,-2.054,,FALSE
-4.23,3.8404,-20.425,1692.73,-9.664,3112.18,3.7149,-8.994,1,-2434.47,15799.2,1,225.08,7.1146,-44347.44,-12.278,-224.55,1731.08,9.3534,-4.068,-13.45,FALSE
-1.23,4.517,-16.472,1657.69,-5.6332,2761.36,6.345,-2.5656,0,-2465.76,11821.5,1,160.71382,6.8094,-44174.946,-10.53,164.85,3208.74,13.581,-2.2206,,FALSE
-1.23,3.8014,-18.42,2038.78,-5.5614,3032.58,4.8768,-0.39162,0,-2274.85,9055.2,0,170.914,6.9954,-43983.15,-9.3902,-628.35,1397.14,10.1253,-2.1074,,TRUE
-4.23,5.34,-10.965,1721.44,-7.1722,2671.01,3.6033,-1.8825,0,-2582.94,12501,0,241.72,9.126,-46872.63,-9.1716,1113.45,1850.97,10.0935,-5.174,,FALSE
-1.23,3.676,-13.134,1664.112,-8.656,2112.98,5.616,-2.8644,1,-2772.15,11559.06,0,228.26,6.2902,-44137.839,-8.4292,2317.65,2040.56,10.8594,-2.0884,-15.43,FALSE
-4.23,6.129,-18.897,1723.78,-5.684,3150.98,2.319396,-3.1161,1,-2550.79,8703,0,182.2,6.3794,-44211.21,-8.4826,1373.55,2991.14,9.7122,-1.77844,-15.42,FALSE
-1.23,4.0577,-9.35,1607.4,-5.8408,2601.78,3.6447,-2.3361,0,-2475.25,10694.4,1,207.38,8.938,-44115.06,-8.2018,1795.05,2707.74,11.217,-13.376,,TRUE
-1.23,3.9173,-14.8513,1705.21,-7.79,5926.78,4.1418,-9.15,0,-2644.35,11962.5,1,167.98,6.2026,-44146.077,-8.0088,2063.25,2078.34,12.495,-1.79428,,FALSE
-1.23,4.976,-13.9756,1744.62,-5.5956,2793.13,6.591,-1.5417,0,-2459.41,11028,0,189.42,10.284,-44366.34,-8.5192,-945.15,1361.74,12.954,-4.268,-15.37,TRUE
-1.23,3.6965,-10.286,1665.049,-6.5072,2644.73,2.39775,-6.909,0,-2287.85,11058.9,1,174.01,6.9146,-44240.01,-12.684,-156.522,1804.56,13.623,-1.74272,,TRUE
-1.23,4.891,-8.811,1675.144,-9.56,5807.78,6.705,-4.617,0,-2404.15,16096.2,1,168.198,6.1293,-44004.39,-8.4368,-184.62,1999.28,9.5565,-2.2808,,FALSE
-4.23,4.0852,-12.751,1659.09,-6.0276,2687.75,5.0052,-4.92,1,-2346.25,12351.9,1,176.598,7.2548,-44128.65,-8.5334,-321.15,1348.74,10.6341,-6.16,-15.07,FALSE
-4.23,5.028,-7.594,1733.7,-10.72,2955.48,5.0895,-1.5252,1,-2453.79,11868.99,1,164.95,7.401,-43769.13,-10.048,-294.03,1811.08,13.728,-1.88558,,FALSE
-1.23,3.9002,-6.875,1731.52,-5.902,2723.193,5.697,-0.7356,0,-2654.75,11161.5,1,177.606,11.568,-44070.45,-8.9146,1380.15,3692.94,12.426,-3.133,-16.08,TRUE
-1.23,3.7407,-16.024,2096.38,-6.379,3356.48,4.0398,-0.8202,1,-2706.55,11822.25,0,181.7,6.9626,-43814.43,-9.12,475.05,2296.54,14.553,-2.7008,-14.89,FALSE
-4.23,5.139,-23.775,1720.25,-5.6886,2807.7,2.6103,-0.8064,0,-2431.74,15034.2,0,196.36,10.106,-44322.75,-7.9482,-587.85,2468.54,9.6786,-1.995,,FALSE
-4.23,3.7189,-2.09,2126.78,-6.316,3671.68,3.732,-0.7734,0,-2748.35,14998.2,0,183.46,6.4722,-43931.82,-8.902,274.65,1562.34,9.453,-3.3424,,FALSE
-4.23,3.8694,-19.176,1742.16,-6.9728,2669.26,4.2693,-2.6718,0,-3041.35,-9517.8,0,169.74,8.07,-44172.258,-8.247,3723.75,2152.34,9.19362,-1.83746,,TRUE
-1.23,5.258,-10.28,1706.5,-5.592,2782.21,8.373,-3.177,0,-2498.41,9597.3,1,170.482,10.44,-44097.33,-7.794,748.35,2528.34,9.6771,-5.674,,FALSE
-1.23,3.677,-29.17,1734.79,-6.7708,3066.68,4.0317,-3.615,1,-3064.55,865.2,1,169.874,6.6846,-44157.548,-8.1374,2979.75,2223.54,9.19884,-1.78182,,TRUE
-4.23,7.082,-16.139,1965.18,-5.7902,4334.78,2.9073,-0.9249,0,-2520.958,11492.16,0,187.72,6.2644,-44315.22,-7.9004,574.05,1928.48,16.122,-1.87906,-14.48,TRUE
-4.23,4.2026,-19.956,1723.71,-8.746,2798.77,5.2071,-1.0314,0,-2288.65,11686.71,1,206.66,11.146,-44138.091,-9.652,-696.75,1814.44,9.8514,-1.8763,,FALSE
-1.23,3.7357,-11.207,1623.43,-7.512,2398.48,2.42922,-2.3619,1,-2305.35,13499.7,0,188.76,6.7606,-44230.05,-9.3482,151.05,1727.26,9.6561,-1.77082,,FALSE
-4.23,4.538,-8.25,1737.88,-7.016,2915.48,2.9118,-4.764,1,-2601.35,11220.3,0,173.96,8.922,-44186.103,-8.2416,860.25,2110.94,15.954,-1.76862,,TRUE
-1.23,3.46813,-12.867,1706.01,-6.6624,2938.68,7.848,-2.0256,0,-1882.65,-7246.8,1,163.146,6.6748,-44143.902,-7.8032,-1784.25,1774.14,9.21219,-10.722,-14.79,TRUE
-4.23,3.5482,-18.284,1601.39,-10.636,2656.71,3.4272,-2.5878,1,-1375.65,11859.75,0,171.76,8.518,-44021.52,-8.4444,-421.53,1834.258,10.8156,-3.3714,-14.53,FALSE
-4.23,4.96,-10.638,1472.08,-5.3857,2223.38,4.4547,-1.1925,1,-2432.15,11288.4,1,173.624,6.502,-44189.079,-8.331,911.55,7355.54,10.6524,-5.598,,TRUE
-1.23,6.895,-11.759,1685.01,-11.656,3731.78,3.3279,-8.226,1,-2494.02,11815.89,0,171.95,6.4898,-44163.645,-10.412,4.62,1970.06,12.309,-1.9532,-14.07,FALSE
-1.23,4.52,-14.8185,1949.98,-7.378,3184.28,4.2807,-0.8685,1,-2565.64,11975.4,0,165.404,6.909,-51594.03,-8.2216,1692.45,2148.94,9.6843,-2.5354,-13.37,FALSE
-1.23,3.8889,-12.099,930.58,-6.6518,2607.88,6.264,-0.38145,0,-2153.55,11313,1,161.34,7.1724,-44150.922,-8.4466,-351.24,1976.98,10.4355,-4.402,-14.32,FALSE
-1.23,3.8664,-4.788,1823.28,-7.1668,2685.81,3.9543,-0.6072,0,-2774.95,12263.4,1,179.416,12.074,-44136.084,-8.0418,3894.75,1786.24,10.3935,-4.316,-15.23,FALSE
-4.23,3.4915,-12.482,2289.48,-6.2262,3056.78,4.5561,-0.5838,1,-3343.55,11784.12,1,169.37,7.6082,-44175.747,-10.576,242.25,2432.94,13.284,-2.0328,,TRUE
-4.23,5.143,-20.048,1704.67,-6.5858,4965.78,10.008,-9.495,0,-2588.05,11054.7,1,185.16,6.17912,-44167.662,-9.666,114.96,1797.86,14.253,-5.036,-14.35,FALSE
-1.23,3.7244,-18.877,1751.73,-6.8204,2893.18,5.61,-3.807,1,-3022.35,10177.2,1,191.16,8.234,-43864.26,-7.9396,3636.75,2166.14,11.2311,-1.78668,-14.26,TRUE
-1.23,3.5783,-5.558,1748.38,-5.9936,2820.98,5.1204,-1.9986,0,-2133.75,9604.2,1,200.42,11.018,-41091.03,-10.48,-257.73,2532.74,10.1796,-2.081,-16.44,TRUE
-4.23,4.3809,-10.584,1711.09,-7.584,2637.84,6.345,-1.3626,0,-2577.07,10890.6,1,301.2,7.6408,-44118.33,-9.996,230.85,1815.82,12.693,-1.81306,,FALSE
-1.23,4.483,-14.7025,1637.47,-5.53,2432.78,2.97,-2.6061,1,-2540.04,4399.2,1,180.82,7.7208,-44163.039,-7.8642,2281.05,-146.66,9.462,-3.844,-13.27,FALSE
-4.23,5.102,-15.2095,1641.75,-9.724,2596.28,4.7931,-2.0604,0,-2465.39,11829.6,0,216.5,6.6566,-44065.47,-15.786,-121.476,1810.58,10.5228,-1.750914,-15.08,FALSE
-1.23,3.5319,-9.543,1783.08,-5.9758,2793.44,3.1572,-1.5498,0,-2139.35,10528.8,0,162.5298,12.428,-43946.55,-9.2176,-296.01,2293.34,10.6554,-1.9027,-14.34,TRUE
-1.23,4.1775,-15.564,3316.48,-7.884,4058.78,4.3071,-0.32328,1,-2640.35,10356.3,1,165.092,6.3284,-43891.71,-9.1534,252.15,1897.04,10.6323,-4.024,,FALSE
-1.23,7.22,-11.544,1598.15,-6.3312,2322.38,3.7728,-2.0895,0,-2484.22,11284.2,1,170.038,6.3652,-44251.02,-9.95,-0.69,2399.54,17.481,-3.5214,,TRUE
